IP地址,端口号,网络延迟,扫描方式,下载速度,数据中心,落地区域,地区,城市
104.16.209.250,443,149ms,TCPing,36.49MB/s,LAX,US,North America,Los Angeles
104.18.57.157,443,143ms,TCPing,31.79MB/s,LAX,US,North America,Los Angeles
104.18.219.142,443,145ms,TCPing,31.50MB/s,LAX,US,North America,Los Angeles
172.64.88.62,443,147ms,TCPing,31.38MB/s,LAX,US,North America,Los Angeles
104.18.108.17,443,152ms,TCPing,27.15MB/s,LAX,US,North America,Los Angeles
104.16.191.90,443,149ms,TCPing,26.57MB/s,LAX,US,North America,Los Angeles
