IP地址,端口号,网络延迟,扫描方式,下载速度,数据中心,落地区域,地区,城市
2606:4700:52:f438:a982:ce3d:86d3:f256,443,43ms,TCPing,55.36MB/s,NRT,JP,Asia Pacific,Tokyo
2606:4700:57:2911:9f53:bee4:3539:40a7,443,58ms,TCPing,48.88MB/s,NRT,JP,Asia Pacific,Tokyo
2606:4700:5a:3da7:4e9e:7ffa:fe5f:a10c,443,45ms,TCPing,48.07MB/s,NRT,JP,Asia Pacific,Tokyo
