IP地址,端口号,网络延迟,扫描方式,下载速度,数据中心,落地区域,地区,城市
162.159.62.155,443,79ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.146.150,443,79ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.32.231,443,79ms,TCPing,,SIN,SG,Asia Pacific,Singapore
104.18.44.213,443,80ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.26.164,443,80ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.35.26,443,80ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.153.2,443,80ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.159.130,443,80ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.10.244,443,81ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.19.150,443,81ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.42.18,443,81ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.155.116,443,81ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.42.232,443,81ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.60.212,443,82ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.58.254,443,83ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.40.114,443,83ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.48.88,443,85ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.147.54,443,85ms,TCPing,,SIN,SG,Asia Pacific,Singapore
172.64.38.163,443,85ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.16.233,443,87ms,TCPing,,SIN,SG,Asia Pacific,Singapore
162.159.36.211,443,89ms,TCPing,,SIN,SG,Asia Pacific,Singapore
