IP地址,端口号,网络延迟,扫描方式,下载速度,数据中心,落地区域,地区,城市
162.159.44.133,443,46ms,TCPing,57.01MB/s,NRT,JP,Asia Pacific,Tokyo
172.64.53.231,443,47ms,TCPing,56.03MB/s,NRT,JP,Asia Pacific,Tokyo
162.159.38.109,443,46ms,TCPing,52.81MB/s,NRT,JP,Asia Pacific,Tokyo
108.162.198.18,443,50ms,TCPing,52.52MB/s,NRT,JP,Asia Pacific,Tokyo
172.64.52.191,443,54ms,TCPing,51.14MB/s,NRT,JP,Asia Pacific,Tokyo
172.64.229.250,443,94ms,TCPing,50.87MB/s,NRT,JP,Asia Pacific,Tokyo
162.159.45.193,443,53ms,TCPing,49.22MB/s,NRT,JP,Asia Pacific,Tokyo
162.159.39.83,443,45ms,TCPing,31.74MB/s,NRT,JP,Asia Pacific,Tokyo
